TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0006284"	"base-excision repair"	-1.3767507096020994	5.024485667699167	0.3003653590183536	0.8057519494165798	0.47559671	-6.5322226708093165	-1.035576335998376	null
"GO:0006287"	"base-excision repair, gap-filling"	-1.5686362358410126	3.8069935136821074	0.018200950071991844	0.8330884483691795	0.37094866	-6.645394424793715	-0.372770901531308	null
"GO:0006352"	"DNA-templated transcription initiation"	-1.4685210829577449	5.4398456478956865	0.7816500355047702	0.8379405037874499	0.00297985	-6.3052134263339505	-3.3609387709315324	null
"GO:0006367"	"transcription initiation at RNA polymerase II promoter"	-1.431798275933005	4.933563206821349	0.24362756660082793	0.8448491451153403	0.68839697	-6.037505035963199	-3.759154934286667	null
"GO:0006521"	"regulation of amino acid metabolic process"	-1.408935392973501	3.6837672614253116	0.013703944158088382	0.9302822557825249	0.1334004	-1.2005077067787027	-7.469659479648767	null
"GO:0006839"	"mitochondrial transport"	-1.5086383061657274	4.595892857941949	0.11195670973155487	0.8869700860848445	0.46312629	-2.82228140620234	6.0610366504417295	null
"GO:0006952"	"defense response"	-1.6382721639824072	5.753281169113283	1.6086022953581247	0.8969811999497027	-0	-6.907083396300073	1.7923247416829395	null
"GO:0009968"	"negative regulation of signal transduction"	-1.431798275933005	5.478860735013367	0.855121005230722	0.7291992033272489	0.67558018	1.5800186077970422	-6.026927361004914	null
"GO:0010648"	"negative regulation of cell communication"	-1.3872161432802645	5.493696394429878	0.8848370159004363	0.8008284285516064	0.75752047	null	null	9968
"GO:0023057"	"negative regulation of signaling"	-1.3767507096020994	5.494403685110555	0.8862792374940367	0.8018785871291539	0.7566019	null	null	9968
"GO:0016032"	"viral process"	-1.3872161432802645	4.684854334578203	0.13740851403593904	1	-0	5.326987419965083	1.9599042919848002	null
"GO:0032101"	"regulation of response to external stimulus"	-1.5228787452803376	5.234375532578953	0.4870138165964275	0.8571947339028099	-0	2.064421440881632	-5.746536913300137	null
"GO:0048534"	"hematopoietic or lymphoid organ development"	-1.3187587626244128	3.9485107688376573	0.025213326718040795	1	-0	2.6616970157607316	5.244942080566053	null
"GO:0071941"	"nitrogen cycle metabolic process"	-1.3565473235138126	4.81203720303537	0.18416147703477878	0.9717170095005668	0.04976255	1.5203679009323101	0.7826239798968581	null
"GO:0090151"	"establishment of protein localization to mitochondrial membrane"	-1.8860566476931633	4.496500674215623	0.08905434438593668	0.8362490807015693	0	-2.086123262879325	6.0335185241345455	null
"GO:0045039"	"protein insertion into mitochondrial inner membrane"	-2	4.349122047476353	0.06342652091068005	0.8375639704389319	0.88949424	null	null	90151
"GO:2001057"	"reactive nitrogen species metabolic process"	-1.3565473235138126	4.555807605738594	0.10208544106827055	0.972757759888662	0.04726141	5.531685120498374	-2.1685758765491547	null
