GO.ID	pValue
GO:0045039	0.01
GO:0090151	0.013
GO:0006952	0.023
GO:0006287	0.027
GO:0032101	0.03
GO:0006839	0.031
GO:0006352	0.034
GO:0009968	0.037
GO:0006367	0.037
GO:0006521	0.039
GO:0010648	0.041
GO:0016032	0.041
GO:0006284	0.042
GO:0023057	0.042
GO:0071941	0.044
GO:2001057	0.044
GO:0048534	0.048
