TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0004252"	"serine-type endopeptidase activity"	-1.4509967379742121	5.552497871147506	0.8715358088510441	0.7954159519041621	0.2680545	5.098999613014924	1.8497888076681968	null
"GO:0005506"	"iron ion binding"	-4.481486060122112	5.783123577795881	1.4822158182312049	0.9325273507804381	0	-1.5818555616791359	6.065932515792102	null
"GO:0008121"	"quinol-cytochrome-c reductase activity"	-1.4294570601181025	4.118760590442381	0.0321008204123705	0.9991771477985847	-0	-4.899069127241572	-2.493255063388784	null
"GO:0008199"	"ferric iron binding"	-2.42021640338319	4.5485368198139025	0.08636009666782055	0.9340094548802721	0.37234466	-2.367819598417417	5.357175531915759	null
"GO:0008474"	"palmitoyl-(protein) hydrolase activity"	-1.3419886033428876	4.302006060586541	0.04895228578405008	0.757816066193706	0.41748553	5.966090644306534	0.7108085379383021	null
"GO:0008484"	"sulfuric ester hydrolase activity"	-1.3990271043132518	4.6077123066830366	0.09896694655892344	0.7934213271635331	0.44046042	6.786642909108136	-1.306548113038472	null
"GO:0009931"	"calcium-dependent protein serine/threonine kinase activity"	-1.5003129173815961	3.444044795918076	0.006786988734477907	0.9056551757475216	0.02625646	4.671140750786083	5.448152951452593	null
"GO:0016722"	"oxidoreductase activity, acting on metal ions"	-4.346787486224656	4.671339490922681	0.11458263780334652	0.9673662527156597	-0	-5.257761631603118	1.2763975322457772	null
"GO:0016790"	"thiolester hydrolase activity"	-2.3979400086720375	5.061422318700925	0.2813242242940787	0.7820269870746488	0.0339901	5.842679658126269	-1.1636446672306489	null
"GO:0017171"	"serine hydrolase activity"	-1.9355420107730814	5.716654297264395	1.2718680122895538	0.8409019706862589	0.23844917	5.135083946030278	-2.9321423038248016	null
"GO:0030545"	"signaling receptor regulator activity"	-2.3010299956639813	5.393690999692591	0.604613481846356	0.8135868061148331	-0	-0.5291163808664258	-6.552834625571323	null
"GO:0048018"	"receptor ligand activity"	-2.008773924307505	5.369959460134259	0.572461374365463	0.7442834685173284	0.58783315	-1.12983061908563	-6.189738043634378	null
"GO:0030546"	"signaling receptor activator activity"	-1.764471553092451	5.37335711066413	0.5769575407059357	0.7550942464788364	0.98417968	null	null	48018
